Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genre,Opening Weekend,Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million), Budget recovered, Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,Release Date (US)
300,2007,adaptation,60.0,51.0,56.0,89.0,71.0,18.0,80.0,-25.0,action,"period, action",70885301.0,70.89,210614939.0,210.61,245.45,245453242.0,456068181.0,456.0,53.82,65.0,701.64,109.05,,,http://www.amazon.co.uk/dp/B00EU7O4D8?ref_=imdbref_tt_wbr_aiv&tag=imdbtag_tt_wbr_aiv-21,"Mar 9, 2007"
3:10 to Yuma,2007,remake,88.0,76.0,82.0,86.0,73.0,13.0,80.0,3.0,western,western,14035033.0,14.04,53606916.0,53.61,16.17,16173815.0,69780731.0,70.0,23.18,50.0,139.56,28.07,,,http://www.amazon.co.uk/dp/B00I2CX91A?ref_=imdbref_tt_wbr_aiv&tag=imdbtag_tt_wbr_aiv-21,"Sep 7, 2007"
30 Days of Night,2007,adaptation,50.0,53.0,52.0,56.0,65.0,-9.0,61.0,-9.0,horror,horror,15951902.0,15.95,39568996.0,39.57,35.53,35526091.0,75095087.0,75.0,47.31,32.0,234.67,49.85,,,http://www.amazon.co.uk/30-Days-night-Josh-Hartnett/dp/B00FYN9UZO/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457385592&sr=1-1&keywords=30+Days+of+Night,"Oct 19, 2007"
Across the Universe,2007,original screenplay,54.0,56.0,55.0,82.0,73.0,9.0,78.0,-23.0,musical,musical,3824988.0,3.82,24343673.0,24.34,5.02,5023470.0,29367143.0,29.0,17.11,45.0,65.26,8.5,,,http://www.amazon.co.uk/Across-Universe-Sturgess-Evan-Rachel/dp/B00I3R3PNQ/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457385603&sr=1-1&keywords=Across+the+Universe,"Oct 12, 2007"
Alien vs. Predator - Requiem,2007,sequel,14.0,29.0,22.0,31.0,45.0,-14.0,38.0,-17.0,sci-fi,"sci-fi, horror",10059425.0,10.06,41797066.0,41.8,87.09,87086650.0,128883716.0,129.0,67.57,40.0,322.21,25.15,,,http://www.amazon.co.uk/Aliens-Vs-Predator-John-Ortiz/dp/B00FYJ2744/ref=sr_1_sc_1?s=instant-video&ie=UTF8&qid=1457385617&sr=1-1-spell&keywords=AAlien+vs.+Predator+-+Requiem,"Dec 25, 2007"
Alvin and the Chipmunks,2007,adaptation,26.0,39.0,33.0,65.0,55.0,10.0,60.0,-28.0,comedy,"family, comedy",44307417.0,44.31,217326974.0,217.33,143.14,143138914.0,360465888.0,360.0,39.71,70.0,514.95,63.3,,,http://www.amazon.co.uk/Alvin-Chipmunks-Jason-Lee/dp/B00FYJ5MPK/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457385629&sr=1-1&keywords=Alvin+and+the+Chipmunks,"Dec 14, 2007"
American Gangster,2007,based on a true story,80.0,76.0,78.0,87.0,75.0,12.0,81.0,-3.0,crime,"crime, drama",43565135.0,43.57,130164645.0,130.16,137.74,137737769.0,267902414.0,268.0,51.41,100.0,267.9,43.57,,,http://www.amazon.co.uk/American-Gangster-Denzel-Washington/dp/B00FYPFJUC/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457385641&sr=1-1&keywords=American+Gangster,"Nov 2, 2007"
Bee Movie,2007,original screenplay,52.0,54.0,53.0,53.0,64.0,-11.0,59.0,-6.0,animation,animation,38021044.0,38.02,126631277.0,126.63,160.49,160492289.0,287123566.0,287.0,55.9,150.0,191.42,25.35,,,http://www.amazon.co.uk/Bee-Movie-Jerry-Seinfeld/dp/B00FZUFLD6/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457385654&sr=1-1&keywords=bee+movie,"Nov 2, 2007"
Beowulf,2007,original screenplay,71.0,59.0,65.0,50.0,63.0,-13.0,57.0,9.0,animation,animation,27515871.0,27.52,82195215.0,82.2,114.07,114068876.0,196264091.0,196.0,58.12,150.0,130.84,18.34,,,http://www.amazon.co.uk/Beowulf-Ray-Winstone/dp/B00ET07UK0/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1457385663&sr=1-2&keywords=Beowulf,"November 16, 2007"
Blades of Glory,2007,original screenplay,69.0,64.0,67.0,68.0,70.0,-2.0,69.0,-3.0,comedy,"sports, comedy",33014202.0,33.01,118594548.0,118.59,27.11,27114094.0,145708642.0,146.0,18.61,61.0,238.87,54.12,,,http://www.amazon.co.uk/BLADES-GLORY-Will-Ferrell/dp/B00FYOG2SQ/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457385676&sr=1-1&keywords=Blades+of+Glory,"March 30, 2007"
